college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
mahakavi devkota campus,sunwal parasi,tribhuvan university,bachelor of business studies bbs bachelor of arts ba bachelor of education bed master of business studies mbs bachelor of business administration bba bachelor of education in information communication technology bicte,community institution,078570049,infomdcedunp,34,1,896
mahakali multiple campus,shreepur belauri shreepur belauri kanchanpur,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,099580197,,34,1,851
seti campus,matela chabispathivera bajhang,tribhuvan university,bachelor of education bed,community institution,,,34,1,629
nishibhuji janata campus,dhorpatan baglung,tribhuvan university,bachelor of education bed bachelor of arts ba bachelor of business studies bbs,community institution,993681053,,34,1,299
shahid multiple campus,rampur palpa,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 education 2 education bachelor of education bed bachelor of business studies bbs master of education general med master of business studies mbs,community institution,075401062,,24,1,772
nawajagaran multiple campus,tamsariya7 chormara tamsariya madhyabindu nawalpur,tribhuvan university,bachelor of business studies bbs bachelor of education bed bachelor of arts ba,community institution,076620914,,34,1,909
harihar shiksha campus,khidim pokharathok khidim panini arghakhanchi,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,974701203,,34,1,506
salyan multiple campus,khalanga sharada salyan,tribhuvan university,bachelor of arts ba bachelor of education bed bachelor of business studies bbs,community institution,088420242,,34,1,501
janakalyan campus,tharmare bagchaur salyan,tribhuvan university,bachelor of education bed bachelor of business studies bbs bachelor of arts ba,community institution,082693255,,34,1,934
tribhuvan campus,beltari pratappur parasi,tribhuvan university,bachelor of education bed bachelor of business studies bbs,community institution,9747010539,,34,1,109
shikharapur campus,pharping dakshinkali kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of education bed bachelor of arts ba,community institution,014710037,campusshikharapurgmailcom,34,1,714
amar janashakti multiple campus,patihani bharatpur chitwan,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,056620140,,34,1,712
madi campus chitwan,basantapur madi madi chitwan,national examinations board,bachelor of education bed ten plus two 2 management 2 mangement ten plus two 2 education 2 education bachelor of business studies bbs,community institution,056692557,,24,1,91
liladhar ghimire chhapiya janata college,bhairahawa siyari rupandehi,tribhuvan university,bachelor of education bed bachelor of business studies bbs,community institution,,,34,1,121
